,idx,hair
571,1148,9
572,1149,1
573,1153,7
574,1157,9
575,1160,8
576,1161,6
577,1162,6
578,1163,11
579,1164,5
580,1166,6
581,1167,8
582,1172,8
583,1174,9
584,1176,10
585,1178,8
586,1181,6
587,1182,0
588,1184,7
589,1185,0
590,1190,8
591,1191,8
592,1192,6
593,1193,3
594,1194,4
595,1195,6
596,1199,6
597,1201,9
598,1206,2
599,1208,2
600,1209,9
601,1210,0
602,1211,2
603,1213,2
604,1216,3
605,1218,0
606,1220,0
607,1224,9
608,1225,5
609,1231,3
610,1235,9
611,1239,9
612,1240,9
613,1241,9
614,1242,3
615,1243,4
616,1245,6
617,1247,9
618,1248,9
619,1252,9
620,1256,6
621,1257,0
622,1258,0
623,1259,4
624,1261,6
625,1262,6
626,1263,0
627,1264,5
628,1269,0
629,1274,0
630,1275,11
631,1279,6
632,1283,3
633,1286,2
634,1288,6
635,1290,7
636,1293,9
637,1294,6
638,1296,9
639,1298,8
640,1301,1
641,1304,0
642,1306,5
643,1307,0
644,1308,2
645,1310,6
646,1312,0
647,1313,8
648,1314,4
649,1316,8
650,1318,9
651,1319,6
652,1320,0
653,1321,3
654,1322,2
655,1324,0
656,1326,9
657,1328,3
658,1329,7
659,1331,10
660,1333,0
661,1338,4
662,1339,6
663,1340,9
664,1341,7
665,1345,5
666,1349,0
667,1351,9
668,1352,0
669,1354,6
670,1355,3
671,1357,0
672,1358,0
673,1359,0
674,1361,9
675,1362,6
676,1363,0
677,1365,9
678,1366,10
679,1373,1
680,1375,0
681,1376,6
682,1378,1
683,1379,6
684,1383,3
685,1385,6
686,1386,8
687,1388,2
688,1391,4
689,1397,9
690,1398,5
691,1401,0
692,1402,3
693,1404,0
694,1408,0
695,1412,9
696,1414,8
697,1420,3
698,1422,7
699,1423,6
700,1425,6
701,1429,6
702,1430,8
703,1432,1
704,1438,0
705,1441,9
706,1443,8
707,1444,9
708,1445,6
709,1446,8
710,1447,3
711,1449,1
712,1451,6
713,1454,11
714,1455,8
715,1458,2
716,1462,9
717,1465,6
718,1467,9
719,1468,5
720,1469,9
721,1470,2
722,1472,4
723,1473,3
724,1475,6
725,1478,9
726,1480,9
727,1481,8
728,1482,3
729,1486,6
730,1487,9
731,1488,0
732,1489,3
733,1491,9
734,1495,0
735,1498,1
736,1502,6
737,1504,4
738,1505,8
739,1509,10
740,1511,9
741,1512,6
742,1514,1
743,1516,10
744,1520,3
745,1522,9
746,1523,1
747,1529,8
748,1530,3
749,1531,6
750,1532,9
751,1533,1
752,1535,0
753,1541,1
754,1542,6
755,1544,8
756,1545,6
757,1547,0
758,1549,7
759,1550,10
760,1552,6
761,1554,3
762,1555,0
763,1557,10
764,1558,3
765,1559,0
766,1560,3
767,1561,0
768,1562,9
769,1563,6
770,1567,9
771,1568,1
772,1569,9
773,1571,6
774,1576,7
775,1577,3
776,1579,11
777,1583,7
778,1586,10
779,1588,10
780,1591,6
781,1593,8
782,1595,3
783,1597,7
784,1598,3
785,1599,6
786,1602,9
787,1604,4
788,1605,7
789,1606,0
790,1611,3
791,1612,6
792,1614,8
793,1616,6
794,1617,6
795,1619,6
796,1620,8
797,1621,8
798,1622,1
799,1623,1
800,1625,9
801,1627,0
802,1628,7
803,1632,6
804,1635,1
805,1637,0
806,1639,6
807,1640,9
808,1643,1
809,1645,1
810,1646,6
811,1647,0
812,1648,6
813,1651,5
814,1653,3
815,1654,11
816,1655,6
817,1659,6
818,1660,6
819,1663,8
820,1664,9
821,1667,1
822,1668,6
823,1671,8
824,1675,6
825,1677,6
826,1678,4
827,1679,6
828,1680,0
829,1681,8
830,1683,8
831,1684,6
832,1686,9
833,1690,9
834,1691,8
835,1694,0
836,1695,6
837,1696,6
838,1698,6
839,1703,8
840,1704,0
841,1705,1
842,1706,10
843,1707,3
844,1709,7
845,1712,7
846,1713,0
847,1714,10
848,1715,3
849,1719,6
850,1721,0
851,1723,9
852,1727,0
853,1728,5
854,1732,1
855,1733,9
856,1740,7
857,1741,5
858,1743,9
859,1744,3
860,1746,6
861,1747,0
862,1749,6
863,1752,9
864,1753,10
865,1754,1
866,1755,6
867,1760,0
868,1761,9
869,1768,9
870,1769,6
871,1770,2
872,1780,3
873,1782,7
874,1784,6
875,1785,11
876,1788,6
877,1791,0
878,1792,0
879,1793,10
880,1795,4
881,1798,8
882,1805,7
883,1807,0
884,1808,11
885,1810,8
886,1811,7
887,1812,0
888,1813,3
889,1814,0
890,1815,6
891,1816,6
892,1817,3
893,1819,9
894,1820,7
895,1825,9
896,1828,4
897,1829,0
898,1830,6
899,1831,8
900,1832,8
901,1834,3
902,1837,9
903,1838,9
904,1840,9
905,1843,9
906,1849,4
907,1851,1
908,1854,3
909,1857,9
910,1858,8
911,1859,0
912,1860,6
913,1861,3
914,1862,9
915,1864,3
916,1868,7
917,1869,8
918,1870,9
919,1872,5
920,1877,5
921,1879,1
922,1880,3
923,1883,8
924,1884,5
925,1887,7
926,1891,6
927,1892,0
928,1894,0
929,1895,6
930,1896,0
931,1900,0
932,1902,0
933,1904,0
934,1911,2
935,1913,0
936,1914,9
937,1916,9
938,1923,8
939,1924,3
940,1926,0
941,1928,3
942,1938,7
943,1940,6
944,1943,9
945,1946,2
946,1947,7
947,1948,7
948,1949,7
949,1952,3
950,1953,6
951,1956,5
952,1957,8
953,1958,10
954,1961,6
955,1962,8
956,1964,9
957,1967,0
958,1969,7
959,1970,10
960,1973,0
961,1977,0
962,1978,5
963,1980,9
964,1981,1
965,1984,3
966,1987,0
967,1989,8
968,1991,8
969,1993,5
970,1996,7
971,2001,8
972,2004,8
973,2006,9
974,2007,7
975,2009,3
976,2011,0
977,2013,0
978,2016,9
979,2017,4
980,2019,0
981,2020,0
982,2022,3
983,2023,4
984,2027,7
985,2028,9
986,2029,5
987,2030,0
988,2034,9
989,2035,9
990,2036,0
991,2037,10
992,2038,6
993,2040,10
994,2041,8
995,2043,6
996,2046,6
997,2049,3
998,2050,1
999,2052,9
1000,2054,7
1001,2055,0
1002,2058,6
1003,2061,6
1004,2062,0
1005,2070,8
1006,2071,0
1007,2073,10
1008,2076,9
1009,2078,5
1010,2079,9
1011,2080,0
1012,2082,0
1013,2084,0
1014,2086,9
1015,2087,6
1016,2089,6
1017,2094,0
1018,2095,8
1019,2097,8
1020,2099,0
1021,2102,8
1022,2107,0
1023,2108,6
1024,2110,3
1025,2113,6
1026,2114,6
1027,2118,9
1028,2120,2
1029,2123,0
1030,2125,9
1031,2128,11
1032,2129,3
1033,2130,10
1034,2132,8
1035,2134,3
1036,2135,0
1037,2137,2
1038,2138,7
1039,2141,6
1040,2143,5
1041,2145,9
1042,2146,0
1043,2147,6
1044,2148,5
1045,2149,4
1046,2150,0
1047,2151,11
1048,2152,0
1049,2153,3
1050,2154,9
1051,2155,0
1052,2157,2
1053,2158,6
1054,2159,9
1055,2162,6
1056,2165,0
1057,2172,4
1058,2174,10
1059,2175,9
1060,2176,9
1061,2177,8
1062,2178,8
1063,2179,0
1064,2180,9
1065,2182,6
1066,2183,7
1067,2185,0
1068,2186,10
1069,2187,5
1070,2188,7
1071,2189,9
1072,2192,6
1073,2196,0
1074,2199,9
1075,2201,4
1076,2202,9
1077,2203,0
1078,2205,3
1079,2207,8
1080,2208,1
1081,2209,7
1082,2211,3
1083,2212,6
1084,2213,3
1085,2214,1
1086,2218,9
1087,2220,1
1088,2221,6
1089,2222,9
1090,2232,0
1091,2234,5
1092,2237,4
1093,2238,8
1094,2239,6
1095,2241,1
1096,2242,8
1097,2244,4
1098,2245,2
1099,2246,0
1100,2249,6
1101,2251,7
1102,2252,2
1103,2253,11
1104,2254,1
1105,2255,5
1106,2256,1
1107,2257,9
1108,2260,6
1109,2262,6
1110,2263,9
1111,2264,6
1112,2265,1
1113,2266,10
1114,2267,3
1115,2270,9
1116,2271,2
1117,2273,9
1118,2275,6
1119,2278,3
1120,2279,7
1121,2280,11
1122,2283,9
1123,2284,3
1124,2287,2
1125,2288,0
1126,2293,0
1127,2294,9
1128,2295,6
1129,2296,6
1130,2298,8
1131,2300,11
1132,2301,3
1133,2303,0
1134,2308,2
1135,2312,4
1136,2313,0
1137,2316,6
1138,2318,0
1139,2319,7
1140,2320,0
1141,2321,9
1142,2322,6
1143,2324,11
1144,2326,9
1145,2327,6
1146,2329,7
1147,2333,4
1148,2334,9
1149,2335,9
1150,2336,5
1151,2337,8
1152,2339,9
1153,2340,3
1154,2342,6
1155,2345,6
1156,2346,3
1157,2347,0
1158,2349,1
1159,2350,2
1160,2353,9
1161,2355,8
1162,2358,9
1163,2359,4
1164,2360,0
1165,2364,8
1166,2365,5
1167,2366,9
1168,2367,0
1169,2368,6
1170,2369,9
1171,2370,6
1172,2372,8
1173,2373,0
1174,2376,3
1175,2377,8
1176,2381,9
1177,2383,3
1178,2384,10
1179,2389,1
1180,2390,10
1181,2395,9
1182,2397,9
1183,2398,7
1184,2399,4
1185,2401,6
1186,2402,0
1187,2403,9
1188,2404,9
1189,2406,6
1190,2408,7
1191,2411,7
1192,2413,0
1193,2416,0
1194,2417,7
1195,2418,0
1196,2419,3
1197,2420,6
1198,2421,6
1199,2424,0
1200,2428,3
1201,2431,9
1202,2436,8
1203,2437,0
1204,2438,6
1205,2440,6
1206,2445,6
1207,2446,0
1208,2448,6
1209,2449,3
1210,2450,0
1211,2452,0
1212,2454,9
1213,2458,0
1214,2459,7
1215,2461,0
1216,2463,8
1217,2468,6
1218,2470,9
1219,2472,8
1220,2475,5
1221,2476,4
1222,2479,9
1223,2487,4
1224,2490,9
1225,2493,5
1226,2494,8
1227,2495,11
1228,2497,2
1229,2499,0
1230,2502,2
1231,2505,3
1232,2506,11
1233,2507,1
1234,2511,0
1235,2512,9
1236,2514,5
1237,2515,3
1238,2516,8
1239,2517,0
1240,2519,4
1241,2523,7
1242,2524,2
1243,2525,9
1244,2526,9
1245,2528,9
1246,2531,4
1247,2532,11
1248,2536,0
1249,2539,0
1250,2540,7
1251,2545,9
1252,2546,3
1253,2547,6
1254,2549,1
1255,2552,0
1256,2554,0
1257,2555,10
1258,2557,0
1259,2558,6
1260,2560,8
1261,2561,10
1262,2563,8
1263,2567,0
1264,2569,1
1265,2571,0
1266,2572,4
1267,2575,0
1268,2577,0
1269,2578,6
1270,2579,6
1271,2580,8
1272,2587,0
1273,2590,3
1274,2591,0
1275,2593,3
1276,2594,0
1277,2598,9
1278,2599,6
1279,2603,6
1280,2604,0
1281,2608,7
1282,2612,5
1283,2613,9
1284,2614,9
1285,2615,0
1286,2617,9
1287,2619,9
1288,2622,0
1289,2624,6
1290,2626,0
1291,2627,0
1292,2631,11
1293,2632,3
1294,2633,6
1295,2634,0
1296,2635,0
1297,2637,0
1298,2639,5
1299,2640,5
1300,2642,10
1301,2643,11
1302,2645,7
1303,2647,0
1304,2648,6
1305,2654,4
1306,2661,6
1307,2662,8
1308,2663,5
1309,2666,0
1310,2668,0
1311,2670,0
1312,2671,6
1313,2676,4
1314,2677,9
1315,2681,6
1316,2682,8
1317,2687,6
1318,2689,8
1319,2691,10
1320,2693,4
1321,2695,6
1322,2697,6
1323,2700,0
1324,2701,0
1325,2706,8
1326,2707,9
1327,2708,10
1328,2710,0
1329,2712,0
1330,2717,4
1331,2719,0
1332,2720,8
1333,2722,2
1334,2724,0
1335,2729,0
1336,2731,8
1337,2732,7
1338,2733,6
1339,2735,6
1340,2737,9
1341,2740,7
1342,2741,1
1343,2744,9
1344,2747,9
1345,2748,3
1346,2749,5
1347,2750,0
1348,2753,1
1349,2754,2
1350,2755,3
1351,2756,2
1352,2757,8
1353,2761,6
1354,2762,9
1355,2766,1
1356,2767,9
1357,2769,7
1358,2770,9
1359,2775,9
1360,2777,10
1361,2778,9
1362,2780,7
1363,2781,0
1364,2784,9
1365,2786,0
1366,2787,8
1367,2788,0
1368,2789,2
1369,2790,11
1370,2791,3
1371,2794,0
1372,2798,1
1373,2799,9
1374,2800,0
1375,2801,3
1376,2802,6
1377,2808,0
1378,2811,0
1379,2812,6
1380,2813,9
1381,2816,6
1382,2817,3
1383,2822,9
1384,2823,0
1385,2824,6
1386,2825,6
1387,2826,1
1388,2827,2
1389,2829,0
1390,2830,1
1391,2831,6
1392,2834,7
1393,2835,6
1394,2836,0
1395,2837,7
1396,2839,0
1397,2841,5
1398,2842,8
1399,2843,6
1400,2844,3
1401,2845,9
1402,2848,7
1403,2849,11
1404,2852,8
1405,2856,6
1406,2857,9
1407,2861,7
1408,2862,1
1409,2864,0
1410,2865,10
1411,2868,7
1412,2869,5
1413,2870,11
1414,2872,6
1415,2874,6
1416,2875,9
1417,2877,6
1418,2879,9
1419,2880,3
1420,2882,0
1421,2887,2
1422,2891,6
1423,2892,9
1424,2897,7
1425,2900,2
1426,2901,0
1427,2903,8
1428,2904,0
1429,2905,0
1430,2909,1
1431,2910,9
1432,2911,10
1433,2912,3
1434,2913,9
1435,2915,3
1436,2916,0
1437,2918,11
1438,2919,3
1439,2920,1
1440,2924,0
1441,2927,4
1442,2928,11
1443,2929,4
1444,2934,7
1445,2935,7
1446,2936,4
1447,2937,10
1448,2939,10
1449,2940,7
1450,2941,0
1451,2946,9
1452,2948,0
1453,2949,1
1454,2950,9
1455,2951,6
1456,2953,7
1457,2954,9
1458,2957,9
1459,2958,9
1460,2960,4
1461,2961,7
1462,2962,0
1463,2964,0
1464,2971,2
1465,2974,0
1466,2977,6
1467,2983,0
1468,2984,3
1469,2985,0
1470,2987,0
1471,2989,9
1472,2990,0
1473,2991,2
1474,2993,1
1475,2994,9
1476,2995,0
1477,2996,3
1478,3000,0
1479,3003,2
1480,3010,9
1481,3011,11
1482,3012,8
1483,3014,5
1484,3019,4
1485,3021,3
1486,3022,0
1487,3023,11
1488,3024,2
1489,3025,0
1490,3026,0
1491,3027,0
1492,3028,1
1493,3030,9
1494,3035,0
1495,3036,4
1496,3039,9
1497,3042,8
1498,3043,0
1499,3046,4
1500,3047,6
1501,3048,0
1502,3049,6
1503,3050,9
1504,3051,11
1505,3054,6
1506,3058,6
1507,3059,6
1508,3061,6
1509,3062,2
1510,3066,6
1511,3068,0
1512,3070,0
1513,3072,9
1514,3084,8
1515,3085,6
1516,3091,0
1517,3093,9
1518,3097,9
1519,3101,1
1520,3102,0
1521,3103,1
1522,3105,6
1523,3107,3
1524,3108,3
1525,3112,8
1526,3114,9
1527,3115,3
1528,3119,9
1529,3120,5
1530,3121,0
1531,3124,8
1532,3125,9
1533,3127,2
1534,3131,5
1535,3133,6
1536,3134,6
1537,3136,10
1538,3141,0
1539,3142,0
1540,3146,1
1541,3147,3
1542,3151,0
1543,3152,11
1544,3157,9
1545,3160,6
1546,3162,3
1547,3163,6
1548,3165,0
1549,3166,6
1550,3167,0
1551,3168,9
1552,3169,0
1553,3170,7
1554,3172,2
1555,3176,10
1556,3179,9
1557,3181,0
1558,3182,9
1559,3188,3
1560,3192,0
1561,3193,4
1562,3196,6
1563,3201,6
1564,3204,10
1565,3205,0
1566,3206,8
1567,3210,7
1568,3211,3
1569,3212,7
1570,3214,4
1571,3215,1
1572,3219,6
1573,3220,6
1574,3223,6
1575,3224,1
1576,3226,9
1577,3229,8
1578,3231,3
1579,3235,9
1580,3236,6
1581,3237,3
1582,3238,10
1583,3239,7
1584,3241,0
1585,3242,0
1586,3244,6
1587,3249,1
1588,3251,10
1589,3257,1
1590,3261,8
1591,3262,6
1592,3264,0
1593,3267,9
1594,3268,0
1595,3271,2
1596,3272,0
1597,3274,7
1598,3277,1
1599,3278,9
1600,3281,11
1601,3285,3
1602,3286,6
1603,3287,2
1604,3288,0
1605,3289,6
1606,3290,9
1607,3291,3
1608,3292,6
1609,3300,2
1610,3301,3
1611,3302,8
1612,3303,6
1613,3304,0
1614,3305,1
1615,3306,6
1616,3307,6
1617,3313,0
1618,3317,3
1619,3318,9
1620,3322,10
1621,3324,6
1622,3326,9
1623,3327,8
1624,3335,8
1625,3336,0
1626,3338,3
1627,3339,2
1628,3340,8
1629,3346,0
1630,3349,4
1631,3353,7
1632,3355,1
1633,3357,9
1634,3358,9
1635,3362,0
1636,3366,1
1637,3371,4
1638,3373,0
1639,3374,5
1640,3379,3
1641,3380,0
1642,3382,6
1643,3384,9
1644,3385,10
1645,3386,8
1646,3389,0
1647,3390,0
1648,3391,9
1649,3397,8
1650,3398,6
1651,3400,7
1652,3401,8
1653,3402,7
1654,3403,6
1655,3406,9
1656,3408,10
1657,3410,9
1658,3411,6
1659,3413,6
1660,3414,0
1661,3415,0
1662,3416,6
1663,3417,0
1664,3418,0
1665,3419,5
1666,3420,7
1667,3421,6
1668,3426,9
1669,3431,9
1670,3432,8
1671,3433,3
1672,3434,0
1673,3437,6
1674,3439,0
1675,3441,4
1676,3445,9
1677,3446,4
1678,3447,7
1679,3449,0
1680,3450,4
1681,3451,0
1682,3454,1
1683,3455,0
1684,3456,3
1685,3458,5
1686,3461,3
1687,3462,3
1688,3463,6
1689,3464,0
1690,3465,0
1691,3467,7
1692,3475,9
1693,3477,5
1694,3478,1
1695,3480,6
1696,3481,1
1697,3482,10
1698,3486,9
1699,3487,0
1700,3490,0
1701,3491,9
1702,3492,9
1703,3493,8
1704,3496,8
1705,3499,0
1706,3501,3
1707,3505,9
1708,3507,7
1709,3511,7
1710,3512,9
1711,3514,3
1712,3515,6
1713,3517,6
1714,3518,7
1715,3520,6
1716,3522,9
1717,3524,9
1718,3526,7
1719,3528,10
1720,3529,3
1721,3534,0
1722,3535,0
1723,3537,3
1724,3539,5
1725,3540,1
1726,3543,6
1727,3544,10
1728,3546,9
1729,3548,1
1730,3549,1
1731,3554,9
1732,3555,4
1733,3557,0
1734,3559,3
1735,3560,8
1736,3563,6
1737,3564,3
1738,3566,4
1739,3567,10
1740,3568,0
1741,3569,4
1742,3572,5
1743,3573,0
1744,3574,1
1745,3576,9
1746,3583,9
1747,3584,6
1748,3586,1
1749,3588,6
1750,3590,9
1751,3592,9
1752,3593,11
1753,3594,7
1754,3599,7
1755,3601,6
1756,3603,5
1757,3608,1
1758,3609,7
1759,3610,6
1760,3611,4
1761,3613,8
1762,3614,6
1763,3615,6
1764,3616,0
1765,3617,11
1766,3618,3
1767,3621,5
1768,3624,3
1769,3626,7
1770,3629,5
1771,3633,11
1772,3635,0
1773,3636,0
1774,3637,0
1775,3643,0
1776,3649,6
1777,3651,8
1778,3652,9
1779,3653,5
1780,3654,1
1781,3656,6
1782,3657,11
1783,3660,9
1784,3661,6
1785,3663,5
1786,3664,10
1787,3665,6
1788,3667,6
1789,3670,0
1790,3671,0
1791,3672,9
1792,3675,9
1793,3677,9
1794,3679,0
1795,3681,4
1796,3684,0
1797,3687,1
1798,3702,0
1799,3703,0
1800,3707,6
1801,3708,1
1802,3710,4
1803,3711,0
1804,3712,10
1805,3714,3
1806,3716,1
1807,3717,9
1808,3718,0
1809,3719,2
1810,3720,10
1811,3724,0
1812,3725,9
1813,3729,3
1814,3730,2
1815,3731,10
1816,3733,9
1817,3736,0
1818,3737,6
1819,3738,6
1820,3740,6
1821,3741,8
1822,3742,9
1823,3745,9
1824,3746,6
1825,3747,6
1826,3749,9
1827,3751,7
1828,3752,5
1829,3753,9
1830,3754,9
1831,3755,0
1832,3759,7
1833,3761,3
1834,3764,1
1835,3765,0
1836,3767,1
1837,3769,7
1838,3772,2
1839,3773,7
1840,3774,0
1841,3775,9
1842,3776,9
1843,3781,0
1844,3784,6
1845,3785,6
1846,3786,9
1847,3787,2
1848,3791,3
1849,3792,0
1850,3797,9
1851,3800,11
1852,3801,6
1853,3803,9
1854,3809,9
1855,3812,7
1856,3813,6
1857,3815,9
1858,3816,7
1859,3817,9
1860,3820,6
1861,3821,0
1862,3822,9
1863,3825,0
1864,3826,5
1865,3827,5
1866,3828,5
1867,3831,8
1868,3833,8
1869,3834,9
1870,3837,8
1871,3838,2
1872,3839,6
1873,3840,9
1874,3842,0
1875,3843,1
1876,3848,10
1877,3849,9
1878,3850,6
1879,3851,9
1880,3852,3
1881,3853,9
1882,3854,6
1883,3856,0
1884,3857,0
1885,3858,0
1886,3860,3
1887,3861,0
1888,3869,6
1889,3870,1
1890,3871,9
1891,3872,9
1892,3877,5
1893,3880,9
1894,3882,9
1895,3884,6
1896,3887,8
1897,3889,8
1898,3892,3
1899,3898,4
1900,3900,6
1901,3901,7
1902,3902,0
1903,3908,8
1904,3910,0
1905,3913,9
1906,3914,9
1907,3917,0
1908,3918,7
1909,3920,4
1910,3921,6
1911,3929,11
1912,3935,9
1913,3942,5
1914,3944,6
1915,3947,8
1916,3948,9
1917,3952,6
1918,3954,9
1919,3959,6
1920,3961,8
1921,3962,4
1922,3963,8
1923,3964,6
1924,3965,4
1925,3966,9
1926,3967,3
1927,3970,6
1928,3971,2
1929,3975,0
1930,3976,0
1931,3978,8
1932,3979,6
1933,3984,0
1934,3985,3
